case,mcl_1st,mcl_4th,mcl_wake,mcd_1st,mcd_4th,mcd_wake,mcmh_1st,mcmh_4th,mcmh_wake,mcmv_1st,mcmv_4th,mcmv_wake
phi140.0__ar4.0_ofs0.0_r1h0.4__Re3000.0_trapzoidal,1.6265239,1.6265239,0,2.1176569,2.1176569,0,1.5892917,1.5892917,0,2.3060938,2.3060938,0
phi140.0__ar4.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,1.5994952,1.5994952,0,2.0490941,2.0490941,0,1.5928018,1.5928018,0,2.2485718,2.2485718,0
phi140.0__ar4.0_ofs0.0_r1h0.6__Re3000.0_trapzoidal,1.5440951,1.5440951,0,1.9216869,1.9216869,0,1.5822253,1.5822253,0,2.2024359,2.2024359,0
