case,mcl_1st,mcl_4th,mcl_wake,mcd_1st,mcd_4th,mcd_wake,mcmh_1st,mcmh_4th,mcmh_wake,mcmv_1st,mcmv_4th,mcmv_wake
phi140.0__ar3.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,1.4944222,1.4944222,0,2.0509779,2.0509779,0,1.5385835,1.5385835,0,2.3091297,2.3091297,0
phi140.0__ar4.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,1.5994952,1.5994952,0,2.0490941,2.0490941,0,1.5928018,1.5928018,0,2.2485718,2.2485718,0
phi140.0__ar5.0_ofs0.0_r1h0.5__Re3000.0_trapzoidal,1.6300293,1.6300293,0,1.9868682,1.9868682,0,1.575295,1.575295,0,2.1237183,2.1237183,0
